
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2S11P17";7/5/2020 09:42:26;57,5;46,6;0;0;">>>>";1027;;;;"N/A_";;29;;;;;-10,82;11,769;0;0;0;48,43;"<<<<";0;0;0;"20%";;1,23;0,0;;;;N/A;
"M2S11P18";7/5/2020 09:46:07;58,2;40,9;0,2;0,7;">>>>";1026;;;;"N/A_";;257;;;;;-89,5;">>>>";0;0;0;-84,22;">>>>";0;0;0;"100%";;1,42;0,0;;;;N/A;
"M2S11P19";7/5/2020 09:49:08;63,6;34,9;0,2;1,3;">>>>";1027;;;;"N/A_";;57;;;;;-58,88;">>>>";0;0;0;108,77;"<<<<";0;0;0;"50%";;1,82;0,54;;;;N/A;
"M2S11P20";7/5/2020 09:55:15;58,5;41,6;0;0;">>>>";1027;;;;"N/A_";;184;;;;;-0,57;0,927;0;0;0;34,14;"<<<<";0;0;0;"20%";;1,41;0,0;;;;N/A;
"M2S11P21";7/5/2020 09:57:43;34,8;22,1;7,7;35,4;">>>>";1027;;;;"N/A_";;14;;;;;-0,83;1,006;0;0;0;-0,93;1,045;0;0;0;"20%";;1,57;6,29;;;;N/A;
"M2S11K01";7/5/2020 10:02:20;51,8;38,8;1,4;8;">>>>";1026;;;;"N/A_";;113;;;;;-163,4;">>>>";0;;"N/A";-164,3;">>>>";0;;"N/A";;;1,34;2,71;;;;N/A;
"M2S11K01";7/5/2020 10:11:31;53,1;40;0,8;6,1;">>>>";1026;;;;"N/A_";;97;;;;;-167,25;0,124;0;339,1;1884,9;-166,97;0,126;0;341;1895,8;;;1,33;3,08;;;;N/A;
"M2H00K01";7/5/2020 10:54:37;52,3;40,1;1;6,6;">>>>";1028;;;;"N/A_";;76;;;;;-114,59;">>>>";0;;"N/A";-118,61;">>>>";0;;"N/A";;;1,3;2,82;;;;N/A;
"M1H01K01";7/5/2020 11:01:28;43,9;34,4;3;18,7;">>>>";1027;;;;"N/A_";;45;;;;;-142,17;0,905;0;2423,4;9999;-143,82;0,893;0;2406,7;9999;;;1,28;7,36;;;;N/A;
"M1H01K02";7/5/2020 11:06:01;41,9;33,6;2,9;21,6;">>>>";1026;;;;"N/A_";;45;;;;;-134,58;0,099;0;805;3531,9;-133,36;0,095;0;788,6;3460;;;1,25;10,64;;;;0;
"M1H02K01";7/5/2020 11:09:04;44,9;34,7;3,2;17,2;">>>>";1026;;;;"N/A_";;43;;;;;-133,13;0,34;0,9;1492,9;7011,3;-133,02;0,338;0;1491,8;7006,2;;;1,29;5,1;;;;N/A;
"M1S14P12";8/5/2020 13:27:25;57,4;40,2;0,3;2,1;">>>>";1019;;;;"N/A_";;265;;;;;-1,14;0,58;0;0;0;0,51;-0,631;0;0;0;"20%";;1,43;0,97;;;;N/A;
"M1S14P14";8/5/2020 13:29:45;53,6;40,5;0,1;5,8;">>>>";1018;;;;"N/A_";;89;;;;;-0,2;0,656;0;0;0;0,03;-0,236;0;0;0;"20%";;1,32;5,42;;;;N/A;
"M1S14P15";8/5/2020 13:31:58;56,3;41,7;0;2;">>>>";1018;;;;"N/A_";;186;;;;;-0,08;0,06;0;0;0;0,4;-0,494;0;0;0;"20%";;1,35;2,0;;;;N/A;
"M1S14P17";8/5/2020 13:35:32;4,6;6,8;14,4;74,2;92;1018;;;;"N/A_";;26;;;;;1,05;-1,377;0;0;0;-107,34;">>>>";0;0;0;"0%";;0,68;19,77;;;;N/A;
"M1S14P18";8/5/2020 13:38:29;24,9;26;1,3;47,8;">>>>";1018;;;;"N/A_";;7;;;;;-0,65;0,596;0;0;0;-0,67;0,614;0;0;0;"0%";;0,96;42,89;;;;N/A;
"M1S14P16";8/5/2020 13:40:53;56,8;41,5;0;1,7;">>>>";1018;;;;"N/A_";;176;;;;;-0,88;0,961;0;0;0;3,26;-3,206;0;0;0;"20%";;1,37;1,7;;;;N/A;
"M1S14P13";8/5/2020 13:43:43;57,7;42,3;0;0;">>>>";1018;;;;"N/A_";;114;;;;;-0,97;1,192;0;0;0;0,32;-0,611;0;0;0;"20%";;1,36;0,0;;;;N/A;
"M1S14P10";8/5/2020 13:46:27;58,3;39,8;0;1,9;">>>>";1018;;;;"N/A_";;837;;;;;-0,32;0,864;0;0;0;0,11;-0,026;0;0;0;"20%";;1,46;1,9;;;;N/A;
"M1S14P11";8/5/2020 13:48:20;51;39,4;0;9,6;">>>>";1018;;;;"N/A_";;204;;;;;-4,08;4,258;0;0;0;-1,48;1,497;0;0;0;"20%";;1,29;9,6;;;;N/A;
"M2H01K01";12/5/2020 08:06:38;50,9;39,9;1,4;7,8;">>>>";1019;;;;"N/A_";;25;;;;;;;;;;;;;;;;;1,28;2,51;;;;N/A;
"M2H02K01";12/5/2020 08:09:22;51,8;40,4;1,4;6,4;">>>>";1019;;;;"N/A_";;85;;;;;;;;;;;;;;;;;1,28;1,11;;;;N/A;
"M2H00K01";12/5/2020 08:20:13;52,7;40,4;1,2;5,7;">>>>";1020;;;;"N/A_";;73;;;;;-51,44;">>>>";0;;"N/A";-51,36;">>>>";0;;"N/A";;;1,3;1,16;;;;N/A;
"M1H01K01";12/5/2020 08:26:14;45,2;35,4;3;16,4;">>>>";1020;;;;"N/A_";;43;;;;;-83,29;">>>>";0;;"N/A";-83,12;">>>>";0;;"N/A";;;1,28;5,06;;;;N/A;
"M1H01K02";12/5/2020 08:30:57;39,5;31,9;4,4;24,2;">>>>";1019;;;;"N/A_";;44;;;;;-77,33;">>>>";0;;"N/A";-77,27;">>>>";0;;"N/A";;;1,24;7,57;;;;0;
"M1H02K01";12/5/2020 08:33:07;44,8;34,9;3,5;16,8;">>>>";1019;;;;"N/A_";;38;;;;;;;;;;;;;;;;;1,28;3,57;;;;N/A;
"M1H03K01";12/5/2020 08:41:39;40,6;32,1;4,9;22,4;">>>>";1017;;;;"N/A_";;31;;;;;-80,15;">>>>";0;;"N/A";-81,02;">>>>";0;;"N/A";;;1,26;3,88;;;;N/A;
"M1H02K03";12/5/2020 08:45:49;46,1;36;2,7;15,2;">>>>";1016;;;;"N/A_";;39;;;;;-75,42;">>>>";0;;"N/A";-74,56;">>>>";0;;"N/A";;;1,28;4,99;;;;N/A;
"M1S06K01";12/5/2020 08:48:59;34,4;26,5;7,5;31,6;">>>>";1016;;;;"N/A_";;51;;;;;-77,06;">>>>";0;;"N/A";-76,17;">>>>";0;;"N/A";;;1,3;3,25;;;;N/A;
"M1S12P17";12/5/2020 13:57:49;24,3;17,5;11,6;46,6;">>>>";1015;;;;"N/A_";;54;;;;;0;-0,098;0;0;0;-0,1;0,268;0;0;0;"0%";;1,39;2,75;;;;N/A;
"M1S12P24";12/5/2020 14:04:57;53,7;39,7;0,6;6;">>>>";1015;;;;"N/A_";;73;;;;;-7,08;6,941;0;0;0;-7,11;6,967;0;0;0;"30%";;1,35;3,73;;;;N/A;
"M1S15P56";12/5/2020 14:31:23;30,5;26,8;4,6;38,1;">>>>";1016;;;;"N/A_";;8;;;;;0,47;-0,151;0;0;0;-0,85;1,02;0;0;0;"0%";;1,14;20,71;;;;N/A;
"M1S15P55";12/5/2020 14:34:09;31,7;27,8;3,4;37,1;">>>>";1016;;;;"N/A_";;7;;;;;-0,32;0,141;0;0;0;-2,1;2,321;0;0;0;"20%";;1,14;24,25;;;;N/A;
"M1S15P62";12/5/2020 14:37:03;0,7;2,6;18,9;77,8;14;1016;;;;"N/A_";;5;;;;;0,29;0,084;0;0;0;0,26;0,103;0;0;0;"0%";;0,27;6,36;;;;N/A;
"M1S15P63";12/5/2020 14:41:17;35,8;25,6;6,8;31,8;">>>>";1016;;;;"N/A_";;101;;;;;-0,62;-0,363;0;0;0;-3,82;5,102;0;0;0;"0%";;1,4;6,1;;;;N/A;
