Model;GEM2000Plus;Serial No;GM10283
Date downloaded;13/11/2019 07:27:08;Software Version;1.10.4
Computer & User Info;BRA000178;smoncerrat
Date of last user calibration;26/10/2019
Date of last factory calibration;14/5/2015
Next service due;17/11/2015
Date of last Gas Check;14/5/2015
Security code;[61D01C19]

ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;CO;H2S;H2;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;ppm;ppm;ppm;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;m
"M2S13P08";12/11/2019 11:19:10;56,2;39,7;1,8;2,3;">>>>";1000;0;6;"LOW";-14,4;12,645;0;0;0;-8,6;9,191;0;0;0;"POZO ABIERTO";;1,42;0,0;;
"M2S13P08";12/11/2019 11:24:59;38,7;27,9;6,7;26,7;">>>>";1000;0;4;"LOW";-3,8;4,355;0;0;0;-3,8;4,314;0;0;0;"POZO CERRADO";;1,39;1,37;;
"M2S13P17";12/11/2019 11:27:07;22,1;14,7;11,4;51,8;">>>>";1000;0;3;"LOW";-64,6;">>>>";0;0;0;-88,6;">>>>";0;0;0;"POZO CERRADO";;1,5;8,71;;
"M2S13P10";12/11/2019 11:30:37;60,1;38,4;1,3;0,2;">>>>";1000;0;3;"LOW";-81,2;">>>>";0;0;0;-70,2;">>>>";0;0;0;"POZO ABIERTO";;1,57;0,0;;
"M2S13P18";12/11/2019 11:34:06;58,6;40,7;0,6;0,1;">>>>";1000;0;14;"LOW";-50,7;">>>>";0;0;0;-51;">>>>";0;0;0;"POZO ABIERTO";;1,44;0,0;;
"M2MGSE17";12/11/2019 13:27:09;57,1;42,7;0,1;0,1;">>>>";998;0;10;"LOW";-124,8;">>>>";0;0;0;-120,4;">>>>";0;0;0;"POZO ABIERTO";;1,34;0,0;;
"M2S17P05";12/11/2019 13:38:11;49,6;49,8;0,5;0,1;">>>>";999;0;2;"LOW";-127,6;">>>>";0;0;0;-126,6;">>>>";0;0;0;"POZO ABIERTO";;1,0;0,0;;
"M2S04P20";12/11/2019 13:39:28;56,4;43,5;0;0,1;">>>>";999;0;9;"LOW";-130,6;">>>>";0;0;0;-136,3;">>>>";0;0;0;"POZO ABIERTO";;1,3;0,1;;
"M2S04P08";12/11/2019 13:40:45;56,6;43,3;0;0,1;">>>>";999;0;9;"LOW";-124,1;">>>>";0;0;0;-140,5;">>>>";0;0;0;"POZO ABIERTO";;1,31;0,1;;
"M2S04P20";12/11/2019 13:41:46;56,7;43;0,2;0,1;">>>>";999;0;10;"LOW";-130,2;">>>>";0;0;0;-130,2;">>>>";0;0;0;"POZO ABIERTO";;1,32;0,0;;
"M2S04P17";12/11/2019 13:42:35;17,4;9,5;10,5;62,6;">>>>";999;0;8;"LOW";-116;">>>>";0;0;0;-124,8;">>>>";0;0;0;"POZO ABIERTO";;1,83;22,91;;
"M2S17P08";12/11/2019 13:43:44;56,3;43,6;0;0,1;">>>>";999;0;10;"LOW";-126,8;">>>>";0;0;0;-131,2;">>>>";0;0;0;"POZO ABIERTO";;1,29;0,1;;
"M2S16P33";12/11/2019 13:45:39;22,7;19,1;10,1;48,1;">>>>";999;0;3;"LOW";-113,4;">>>>";0;0;0;-121,3;">>>>";0;0;0;"POZO CERRADO";;1,19;9,92;;
