
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2S12P05";15/4/2020 13:54:44;57,4;41;0,5;1,1;">>>>";1015;;;;"N/A_";;174;;;;;-128,67;">>>>";0;0;0;-133,21;">>>>";0;0;0;"50%";;1,4;0,0;;;;N/A;
"M2S12P13";15/4/2020 13:59:29;50,5;37,7;2,1;9,7;">>>>";1015;;;;"N/A_";;30;;;;;-121,1;">>>>";0;0;0;-128,08;">>>>";0;0;0;"50%";;1,34;1,76;;;;N/A;
"M2S12P09";15/4/2020 14:04:45;39,2;28,5;6,1;26,2;">>>>";1015;;;;"N/A_";;111;;;;;-131,77;">>>>";0;0;0;-130,83;">>>>";0;0;0;"30%";;1,38;3,14;;;;N/A;
"M2S12P15";15/4/2020 14:09:52;31,2;28,2;7,2;33,4;">>>>";1015;;;;"N/A_";;30;;;;;0,5;-0,014;0;0;0;-134,32;">>>>";0;0;0;"20%";;1,11;6,18;;;;N/A;
"M2S12P06";15/4/2020 14:14:59;31,3;23,2;9;36,5;">>>>";1015;;;;"N/A_";;15;;;;;-4,03;5,796;0;0;0;-135,16;">>>>";0;0;0;"20%";;1,35;2,48;;;;N/A;
"M2S12K01";15/4/2020 14:20:30;55,8;42,1;0,8;1,3;">>>>";1015;;;;"N/A_";;139;;;;;-137,27;">>>>";0;;"N/A";-140,45;">>>>";0;;"N/A";;;1,33;0,0;;;;N/A;
"M2S17K01";15/4/2020 14:25:27;56,9;41,4;0,8;0,9;">>>>";1016;;;;"N/A_";;110;;;;;-150,39;">>>>";0;;"N/A";-150,51;">>>>";0;;"N/A";;;1,37;0,0;;;;N/A;
"M2S18K01";15/4/2020 14:30:14;59,1;40,9;0,5;0;">>>>";1019;;;;"N/A_";;89;;;;;-166,43;">>>>";0;;"N/A";-165,74;">>>>";0;;"N/A";;;1,44;0,0;;;;N/A;
"M2S05K01";15/4/2020 14:36:01;53,5;40,1;0,9;5,5;">>>>";1017;;;;"N/A_";;64;;;;;-176,23;">>>>";0;;"N/A";-173,06;">>>>";0;;"N/A";;;1,33;2,1;;;;N/A;
"M2S06K01";15/4/2020 14:41:23;57,5;42,8;0,2;0;">>>>";1016;;;;"N/A_";;63;;;;;-158,29;">>>>";0;;"N/A";-147,28;">>>>";0;;"N/A";;;1,34;0,0;;;;N/A;
"M2S07K01";15/4/2020 14:45:13;57,1;42,7;0,5;0;">>>>";1017;;;;"N/A_";;88;;;;;-151,04;">>>>";0;;"N/A";-149,01;">>>>";0;;"N/A";;;1,34;0,0;;;;N/A;
"M2S08K01";15/4/2020 14:50:55;39,7;30;5,5;24,8;">>>>";1017;;;;"N/A_";;92;;;;;-145,96;">>>>";0;;"N/A";-146,99;">>>>";0;;"N/A";;;1,32;4,01;;;;N/A;
"M2S08K01";15/4/2020 15:07:36;47,9;36,3;2,7;13,1;">>>>";1017;;;;"N/A_";;100;;;;;-154,17;0,014;0;114,4;572,9;-153,86;0,017;0;124,4;623,3;;;1,32;2,89;;;;N/A;
"M2S08P01";15/4/2020 15:11:45;48,3;37,8;2,7;11,2;">>>>";1017;;;;"N/A_";;54;;;;;-17,99;20,497;0;0;0;-55,25;">>>>";0;0;0;"20%";;1,28;0,99;;;;N/A;
"M2S08P02";15/4/2020 15:17:09;42,9;31,2;4,9;21;">>>>";1017;;;;"N/A_";;28;;;;;-130,88;">>>>";0;0;0;-147;">>>>";0;0;0;"30%";;1,38;2,48;;;;N/A;
"M2S08P07";15/4/2020 15:20:33;57,3;43,8;0;0;">>>>";1018;;;;"N/A_";;98;;;;;-0,47;1,874;0;0;0;24,43;-22,258;0;0;0;"20%";;1,31;0,0;;;;N/A;
"M2S08P10";15/4/2020 15:22:02;58,3;43,5;0;0;">>>>";1017;;;;"N/A_";;148;;;;;-25,99;">>>>";0;0;0;-28,67;">>>>";0;0;0;"20%";;1,34;0,0;;;;N/A;
"M2S08P08";15/4/2020 15:24:04;58,6;43,4;0;0;">>>>";1017;;;;"N/A_";;110;;;;;-1,29;1,921;0;0;0;-1,24;1,812;0;0;0;"20%";;1,35;0,0;;;;N/A;
"M2S08P14";15/4/2020 15:27:40;46,8;35;3,5;14,7;">>>>";1017;;;;"N/A_";;107;;;;;-41,69;">>>>";0;0;0;-98,12;">>>>";0;0;0;"30%";;1,34;1,47;;;;N/A;
"M2S08P11";15/4/2020 15:31:45;16,6;12,5;12,9;58;">>>>";1017;;;;"N/A_";;19;;;;;-0,75;1,12;0;0;0;-16,32;16,941;0;0;0;"0%";;1,33;9,24;;;;N/A;
"M2S08P19";15/4/2020 15:36:21;20,6;16,4;9,5;53,5;">>>>";1017;;;;"N/A_";;16;;;;;-0,64;1,223;0;0;0;-11,09;11,242;0;0;0;"0%";;1,26;17,59;;;;N/A;
"M2S08P15";15/4/2020 15:39:01;49,1;37;2,8;11,1;">>>>";1017;;;;"N/A_";;162;;;;;-113,66;">>>>";0;0;0;-128,66;">>>>";0;0;0;"50%";;1,33;0,52;;;;N/A;
"M2S08P22";15/4/2020 15:43:43;32,9;24,1;7,8;35,2;">>>>";1017;;;;"N/A_";;57;;;;;-0,17;1,015;0;0;0;-48,23;">>>>";0;0;0;"20%";;1,37;5,72;;;;N/A;
